sensor,timestamp,sample,channel,threshold,distance_s,unix_time_us
3dvha,2023-12-01T22:33:27.876334,112157527,5,0.32,7.0,1701470007876334
3dvha,2023-12-01T22:33:37.104661,112342093,5,0.32,7.0,1701470017104661
3dvha,2023-12-01T22:33:46.751597,112535032,5,0.32,7.0,1701470026751597
3dvha,2023-12-01T22:33:56.129907,112722598,5,0.32,7.0,1701470036129907
3dvha,2023-12-01T22:34:05.923353,112918467,5,0.32,7.0,1701470045923353
3dvha,2023-12-01T22:34:15.387691,113107754,5,0.32,7.0,1701470055387691
3dvha,2023-12-01T22:34:25.534424,113310688,5,0.32,7.0,1701470065534424
3dvha,2023-12-01T22:34:34.996720,113499934,5,0.32,7.0,1701470074996720
3dvha,2023-12-01T22:34:44.650163,113693003,5,0.32,7.0,1701470084650163
3dvha,2023-12-01T22:34:54.311947,113886239,5,0.32,7.0,1701470094311947
3dvha,2023-12-01T22:35:03.747177,114074944,5,0.32,7.0,1701470103747177
3dvha,2023-12-01T22:35:13.390806,114267816,5,0.32,7.0,1701470113390806
3dvha,2023-12-01T22:35:22.969454,114459389,5,0.32,7.0,1701470122969454
3dvha,2023-12-01T22:35:32.260534,114645211,5,0.32,7.0,1701470132260534
3dvha,2023-12-01T22:35:41.692360,114833847,5,0.32,7.0,1701470141692360
3dvha,2023-12-01T22:35:50.963557,115019271,5,0.32,7.0,1701470150963557
3dvha,2023-12-01T22:36:00.210895,115204218,5,0.32,7.0,1701470160210895
3dvha,2023-12-01T22:36:09.961578,115399232,5,0.32,7.0,1701470169961578
3dvha,2023-12-01T22:36:19.249299,115584986,5,0.32,7.0,1701470179249299
3dvha,2023-12-01T22:36:28.762147,115775243,5,0.32,7.0,1701470188762147
3dvha,2023-12-01T22:36:38.174817,115963496,5,0.32,7.0,1701470198174817
3dvha,2023-12-01T22:36:47.696076,116153922,5,0.32,7.0,1701470207696076
3dvha,2023-12-01T22:36:57.083893,116341678,5,0.32,7.0,1701470217083893
3dvha,2023-12-01T22:37:07.335638,116546713,5,0.32,7.0,1701470227335638
3dvha,2023-12-01T22:37:16.609971,116732199,5,0.32,7.0,1701470236609971
3dvha,2023-12-01T22:37:26.461639,116929233,5,0.32,7.0,1701470246461639
3dvha,2023-12-01T22:37:36.365872,117127317,5,0.32,7.0,1701470256365872
3dvha,2023-12-01T22:37:46.572194,117331444,5,0.32,7.0,1701470266572194
3dvha,2023-12-01T22:37:57.231754,117544635,5,0.32,7.0,1701470277231754
3dvha,2023-12-01T22:38:06.797509,117735950,5,0.32,7.0,1701470286797509
3dvha,2023-12-01T22:38:16.094807,117921896,5,0.32,7.0,1701470296094807
3dvha,2023-12-01T22:38:25.688248,118113765,5,0.32,7.0,1701470305688248
3dvha,2023-12-01T22:38:35.053568,118301071,5,0.32,7.0,1701470315053568
3dvha,2023-12-01T22:38:44.372291,118487446,5,0.32,7.0,1701470324372291
3dvha,2023-12-01T22:38:54.604884,118692098,5,0.32,7.0,1701470334604884
3dvha,2023-12-01T22:39:05.316029,118906321,5,0.32,7.0,1701470345316029
3dvha,2023-12-01T22:39:14.788672,119095773,5,0.32,7.0,1701470354788672
3dvha,2023-12-01T22:39:24.110266,119282205,5,0.32,7.0,1701470364110266
3dvha,2023-12-01T22:39:33.311952,119466239,5,0.32,7.0,1701470373311952
3dvha,2023-12-01T22:39:42.636217,119652724,5,0.32,7.0,1701470382636217
3dvha,2023-12-01T22:39:51.967140,119839343,5,0.32,7.0,1701470391967140
3dvha,2023-12-01T22:40:01.387638,120027753,5,0.32,7.0,1701470401387638
3dvha,2023-12-01T22:40:11.441855,120228837,5,0.32,7.0,1701470411441855
3dvha,2023-12-01T22:40:20.885478,120417710,5,0.32,7.0,1701470420885478
3dvha,2023-12-01T22:41:09.422994,121388460,5,0.32,7.0,1701470469422994
3dvha,2023-12-01T22:42:19.892522,122797850,5,0.32,7.0,1701470539892522
3dvha,2023-12-01T22:42:37.358365,123147167,5,0.32,7.0,1701470557358365
3dvha,2023-12-01T22:42:46.697633,123333953,5,0.32,7.0,1701470566697633
3dvha,2023-12-01T22:42:56.082547,123521651,5,0.32,7.0,1701470576082547
3dvha,2023-12-01T22:43:05.529436,123710589,5,0.32,7.0,1701470585529436
3dvha,2023-12-01T22:43:15.299768,123905995,5,0.32,7.0,1701470595299768
3dvha,2023-12-01T22:43:24.916965,124098339,5,0.32,7.0,1701470604916965
3dvha,2023-12-01T22:43:34.633363,124292667,5,0.32,7.0,1701470614633363
3dvha,2023-12-01T22:43:44.089898,124481798,5,0.32,7.0,1701470624089898
3dvha,2023-12-01T22:43:53.253263,124665065,5,0.32,7.0,1701470633253263
3dvha,2023-12-01T22:44:02.716672,124854333,5,0.32,7.0,1701470642716672
3dvha,2023-12-01T22:44:12.298313,125045966,5,0.32,7.0,1701470652298313
3dvha,2023-12-01T22:44:21.906141,125238123,5,0.32,7.0,1701470661906141
3dvha,2023-12-01T22:44:31.329613,125426592,5,0.32,7.0,1701470671329613
3dvha,2023-12-01T22:44:41.181832,125623637,5,0.32,7.0,1701470681181832
3dvha,2023-12-01T22:44:50.596608,125811932,5,0.32,7.0,1701470690596608
vla1,2023-12-01T21:00:03.145337,61432,5,0.27,7.0,1701464403145337
vla1,2023-12-01T21:00:12.868733,251342,5,0.27,7.0,1701464412868733
vla1,2023-12-01T21:00:22.083100,431310,5,0.27,7.0,1701464422083100
vla1,2023-12-01T21:00:31.971327,624440,5,0.27,7.0,1701464431971327
vla1,2023-12-01T21:00:41.375928,808123,5,0.27,7.0,1701464441375928
vla1,2023-12-01T21:00:50.785523,991904,5,0.27,7.0,1701464450785523
vla1,2023-12-01T21:01:00.896114,1189377,5,0.27,7.0,1701464460896114
vla1,2023-12-01T21:01:10.430832,1375602,5,0.27,7.0,1701464470430832
vla1,2023-12-01T21:01:19.868275,1559927,5,0.27,7.0,1701464479868275
vla1,2023-12-01T21:01:29.564450,1749305,5,0.27,7.0,1701464489564450
vla1,2023-12-01T21:01:40.137748,1955815,5,0.27,7.0,1701464500137748
vla1,2023-12-01T21:01:49.844693,2145404,5,0.27,7.0,1701464509844693
vla1,2023-12-01T21:01:59.282438,2329735,5,0.27,7.0,1701464519282438
vla1,2023-12-01T21:02:09.051726,2520541,5,0.27,7.0,1701464529051726
vla1,2023-12-01T21:02:18.505140,2705178,5,0.27,7.0,1701464538505140
vla1,2023-12-01T21:02:28.092776,2892437,5,0.27,7.0,1701464548092776
vla1,2023-12-01T21:02:38.845676,3102454,5,0.27,7.0,1701464558845676
vla1,2023-12-01T21:02:48.632708,3293607,5,0.27,7.0,1701464568632708
vla1,2023-12-01T21:02:58.589344,3488073,5,0.27,7.0,1701464578589344
vla1,2023-12-01T21:03:07.788170,3667737,5,0.27,7.0,1701464587788170
vla1,2023-12-01T21:03:17.398036,3855430,5,0.27,7.0,1701464597398036
vla1,2023-12-01T21:03:26.667689,4036478,5,0.27,7.0,1701464606667689
vla1,2023-12-01T21:03:35.995062,4218653,5,0.27,7.0,1701464615995062
vla1,2023-12-01T21:03:45.722218,4408637,5,0.27,7.0,1701464625722218
vla1,2023-12-01T21:03:56.570638,4620520,5,0.27,7.0,1701464636570638
vla1,2023-12-01T21:04:06.168019,4807969,5,0.27,7.0,1701464646168019
vla1,2023-12-01T21:04:15.668782,4993531,5,0.27,7.0,1701464655668782
vla1,2023-12-01T21:04:25.138774,5178491,5,0.27,7.0,1701464665138774
vla1,2023-12-01T21:04:35.674142,5384260,5,0.27,7.0,1701464675674142
vla1,2023-12-01T21:05:37.417917,6590193,5,0.27,7.0,1701464737417917
vla1,2023-12-01T21:05:46.895399,6775300,5,0.27,7.0,1701464746895399
vla1,2023-12-01T21:05:57.075132,6974123,5,0.27,7.0,1701464757075132
vla1,2023-12-01T21:06:07.552930,7178768,5,0.27,7.0,1701464767552930
vla1,2023-12-01T21:06:17.173665,7366673,5,0.27,7.0,1701464777173665
vla1,2023-12-01T21:06:26.890843,7556462,5,0.27,7.0,1701464786890843
vla1,2023-12-01T21:06:37.370899,7761150,5,0.27,7.0,1701464797370899
vla1,2023-12-01T21:06:46.612541,7941651,5,0.27,7.0,1701464806612541
vla1,2023-12-01T21:06:56.004734,8125092,5,0.27,7.0,1701464816004734
vla1,2023-12-01T21:07:31.287239,8814204,5,0.27,7.0,1701464851287239
vla1,2023-12-01T21:07:40.753060,8999083,5,0.27,7.0,1701464860753060
vla1,2023-12-01T21:07:50.006426,9179813,5,0.27,7.0,1701464870006426
vla1,2023-12-01T21:07:59.982210,9374652,5,0.27,7.0,1701464879982210
vla1,2023-12-01T21:08:09.254856,9555759,5,0.27,7.0,1701464889254856
vla1,2023-12-01T21:08:18.500407,9736336,5,0.27,7.0,1701464898500407
vla1,2023-12-01T21:08:29.380868,9948845,5,0.27,7.0,1701464909380868
vla1,2023-12-01T21:08:39.768113,10151721,5,0.27,7.0,1701464919768113
vla1,2023-12-01T21:08:49.200776,10335952,5,0.27,7.0,1701464929200776
vla1,2023-12-01T21:08:59.054227,10528403,5,0.27,7.0,1701464939054227
vla1,2023-12-01T21:09:08.342592,10709816,5,0.27,7.0,1701464948342592
vla1,2023-12-01T21:09:19.084485,10919619,5,0.27,7.0,1701464959084485
vla1,2023-12-01T21:09:28.754871,11108493,5,0.27,7.0,1701464968754871
vla1,2023-12-01T21:09:37.960175,11288284,5,0.27,7.0,1701464977960175
vla1,2023-12-01T21:09:47.529334,11475182,5,0.27,7.0,1701464987529334
vla1,2023-12-01T21:09:58.014225,11679965,5,0.27,7.0,1701464998014225
vla1,2023-12-01T21:10:07.300164,11861331,5,0.27,7.0,1701465007300164
vla1,2023-12-01T21:10:17.119712,12053119,5,0.27,7.0,1701465017119712
vla1,2023-12-01T21:10:27.306026,12252071,5,0.27,7.0,1701465027306026
vla1,2023-12-01T21:10:37.635102,12453810,5,0.27,7.0,1701465037635102
vla1,2023-12-01T21:12:01.960308,14100787,5,0.27,7.0,1701465121960308
vla1,2023-12-01T21:12:11.288682,14282982,5,0.27,7.0,1701465131288682
vla1,2023-12-01T21:12:22.182495,14495752,5,0.27,7.0,1701465142182495
vla1,2023-12-01T21:12:31.359465,14674989,5,0.27,7.0,1701465151359465
vla1,2023-12-01T21:12:41.008373,14863445,5,0.27,7.0,1701465161008373
vla1,2023-12-01T21:12:50.724067,15053204,5,0.27,7.0,1701465170724067
vla1,2023-12-01T21:13:00.368682,15241576,5,0.27,7.0,1701465180368682
vla1,2023-12-01T21:13:09.824975,15426269,5,0.27,7.0,1701465189824975
vla1,2023-12-01T21:13:19.938081,15623790,5,0.27,7.0,1701465199938081
vla1,2023-12-01T21:13:29.464694,15809857,5,0.27,7.0,1701465209464694
vla1,2023-12-01T21:13:38.585427,15987996,5,0.27,7.0,1701465218585427
vla1,2023-12-01T21:13:48.004064,16171954,5,0.27,7.0,1701465228004064
vla1,2023-12-01T21:13:57.151905,16350623,5,0.27,7.0,1701465237151905
vla1,2023-12-01T21:14:07.274388,16548328,5,0.27,7.0,1701465247274388
vla1,2023-12-01T21:14:17.788295,16753677,5,0.27,7.0,1701465257788295
vla1,2023-12-01T21:14:27.189998,16937304,5,0.27,7.0,1701465267189998
vla1,2023-12-01T21:14:37.144960,17131737,5,0.27,7.0,1701465277144960
vla1,2023-12-01T21:14:46.119738,17307026,5,0.27,7.0,1701465286119738
vla1,2023-12-01T21:14:55.787589,17495851,5,0.27,7.0,1701465295787589
vla1,2023-12-01T21:15:05.121674,17678157,5,0.27,7.0,1701465305121674
vla1,2023-12-01T21:15:14.467625,17860696,5,0.27,7.0,1701465314467625
vla1,2023-12-01T21:15:24.560728,18057826,5,0.27,7.0,1701465324560728
vla1,2023-12-01T21:15:34.146776,18245054,5,0.27,7.0,1701465334146776
vla1,2023-12-01T21:15:43.276218,18423363,5,0.27,7.0,1701465343276218
vla1,2023-12-01T21:15:52.482671,18603177,5,0.27,7.0,1701465352482671
vla1,2023-12-01T21:16:01.936601,18787824,5,0.27,7.0,1701465361936601
vla1,2023-12-01T21:16:11.399886,18972654,5,0.27,7.0,1701465371399886
vla1,2023-12-01T21:16:20.910653,19158411,5,0.27,7.0,1701465380910653
vla1,2023-12-01T21:16:31.357672,19362454,5,0.27,7.0,1701465391357672
vla1,2023-12-01T21:16:40.306971,19537245,5,0.27,7.0,1701465400306971
vla1,2023-12-01T21:16:49.904697,19724701,5,0.27,7.0,1701465409904697
vla1,2023-12-01T21:16:59.381866,19909802,5,0.27,7.0,1701465419381866
vla1,2023-12-01T21:17:08.330120,20084572,5,0.27,7.0,1701465428330120
vla1,2023-12-01T21:17:17.497120,20263615,5,0.27,7.0,1701465437497120
vla1,2023-12-01T21:17:27.149677,20452142,5,0.27,7.0,1701465447149677
vla1,2023-12-01T21:17:37.587807,20656012,5,0.27,7.0,1701465457587807
vla1,2023-12-01T21:17:48.366012,20866523,5,0.27,7.0,1701465468366012
vla1,2023-12-01T21:17:58.210300,21058795,5,0.27,7.0,1701465478210300
vla1,2023-12-01T21:18:07.880306,21247662,5,0.27,7.0,1701465487880306
vla1,2023-12-01T21:18:17.382454,21433251,5,0.27,7.0,1701465497382454
vla1,2023-12-01T21:18:26.658984,21614433,5,0.27,7.0,1701465506658984
vla1,2023-12-01T21:20:07.087802,23575933,5,0.27,7.0,1701465607087802
vla1,2023-12-01T21:20:17.626386,23781765,5,0.27,7.0,1701465617626386
vla1,2023-12-01T21:20:27.439692,23973431,5,0.27,7.0,1701465627439692
vla1,2023-12-01T21:20:36.666254,24153638,5,0.27,7.0,1701465636666254
vla1,2023-12-01T21:20:45.866001,24333320,5,0.27,7.0,1701465645866001
vla1,2023-12-01T21:20:55.383423,24519207,5,0.27,7.0,1701465655383423
vla1,2023-12-01T21:21:04.862198,24704340,5,0.27,7.0,1701465664862198
vla1,2023-12-01T21:21:14.331206,24889281,5,0.27,7.0,1701465674331206
vla1,2023-12-01T21:21:24.454725,25087006,5,0.27,7.0,1701465684454725
vla1,2023-12-01T21:21:33.274981,25259277,5,0.27,7.0,1701465693274981
vla1,2023-12-01T21:21:42.872579,25446730,5,0.27,7.0,1701465702872579
vla1,2023-12-01T21:21:52.052988,25626035,5,0.27,7.0,1701465712052988
vla1,2023-12-01T21:22:02.205074,25824318,5,0.27,7.0,1701465722205074
vla1,2023-12-01T21:22:12.009605,26015812,5,0.27,7.0,1701465732009605
vla1,2023-12-01T21:22:21.172949,26194784,5,0.27,7.0,1701465741172949
vla1,2023-12-01T21:22:30.770931,26382244,5,0.27,7.0,1701465750770931
vla1,2023-12-01T21:22:39.934600,26561222,5,0.27,7.0,1701465759934600
vla1,2023-12-01T21:22:49.730486,26752548,5,0.27,7.0,1701465769730486
vla1,2023-12-01T21:22:58.984078,26933283,5,0.27,7.0,1701465778984078
vla1,2023-12-01T21:23:08.233441,27113934,5,0.27,7.0,1701465788233441
vla1,2023-12-01T21:23:17.809377,27300964,5,0.27,7.0,1701465797809377
vla1,2023-12-01T21:23:26.864948,27477831,5,0.27,7.0,1701465806864948
vla1,2023-12-01T21:23:36.182123,27659807,5,0.27,7.0,1701465816182123
vla1,2023-12-01T21:23:46.315371,27857722,5,0.27,7.0,1701465826315371
vla1,2023-12-01T21:23:56.825938,28063006,5,0.27,7.0,1701465836825938
vla1,2023-12-01T21:24:06.389428,28249793,5,0.27,7.0,1701465846389428
vla1,2023-12-01T21:25:12.919647,29549212,5,0.27,7.0,1701465912919647
vla1,2023-12-01T21:25:22.044304,29727428,5,0.27,7.0,1701465922044304
vla1,2023-12-01T21:25:33.003910,29941482,5,0.27,7.0,1701465933003910
vla1,2023-12-01T21:25:42.080572,30118761,5,0.27,7.0,1701465942080572
vla1,2023-12-01T21:25:51.560072,30303907,5,0.27,7.0,1701465951560072
vla1,2023-12-01T21:26:01.152527,30491260,5,0.27,7.0,1701465961152527
vla1,2023-12-01T21:26:11.766945,30698573,5,0.27,7.0,1701465971766945
vla1,2023-12-01T21:26:21.484216,30888363,5,0.27,7.0,1701465981484216
vla1,2023-12-01T21:26:30.981438,31073856,5,0.27,7.0,1701465990981438
vla1,2023-12-01T21:26:40.294784,31255757,5,0.27,7.0,1701466000294784
vla1,2023-12-01T21:28:25.410277,33308794,5,0.27,7.0,1701466105410277
vla1,2023-12-01T21:28:35.661672,33509017,5,0.27,7.0,1701466115661672
vla1,2023-12-01T21:28:44.915746,33689760,5,0.27,7.0,1701466124915746
vla1,2023-12-01T21:28:53.713253,33861587,5,0.27,7.0,1701466133713253
vla1,2023-12-01T21:29:03.291947,34048671,5,0.27,7.0,1701466143291947
vla1,2023-12-01T21:29:12.335824,34225309,5,0.27,7.0,1701466152335824
vla1,2023-12-01T21:29:21.628621,34406809,5,0.27,7.0,1701466161628621
vla1,2023-12-01T21:29:31.413371,34597917,5,0.27,7.0,1701466171413371
vla1,2023-12-01T21:29:41.038044,34785899,5,0.27,7.0,1701466181038044
vla1,2023-12-01T21:29:51.280465,34985946,5,0.27,7.0,1701466191280465
vla1,2023-12-01T21:30:00.547921,35166951,5,0.27,7.0,1701466200547921
vla1,2023-12-01T21:30:09.858924,35348807,5,0.27,7.0,1701466209858924
vla1,2023-12-01T21:30:20.262539,35552002,5,0.27,7.0,1701466220262539
vla1,2023-12-01T21:30:29.510251,35732622,5,0.27,7.0,1701466229510251
vla1,2023-12-01T21:30:38.850800,35915054,5,0.27,7.0,1701466238850800
vla1,2023-12-01T21:30:48.441198,36102367,5,0.27,7.0,1701466248441198
vla1,2023-12-01T21:30:57.568725,36280639,5,0.27,7.0,1701466257568725
vla1,2023-12-01T21:31:07.296795,36470640,5,0.27,7.0,1701466267296795
vla1,2023-12-01T21:31:16.430881,36649040,5,0.27,7.0,1701466276430881
vla1,2023-12-01T21:31:26.122414,36838328,5,0.27,7.0,1701466286122414
vla1,2023-12-01T21:31:35.676274,37024927,5,0.27,7.0,1701466295676274
vla1,2023-12-01T21:31:45.146846,37209899,5,0.27,7.0,1701466305146846
vla1,2023-12-01T21:31:55.412595,37410402,5,0.27,7.0,1701466315412595
vla1,2023-12-01T21:32:05.703417,37611395,5,0.27,7.0,1701466325703417
vla1,2023-12-01T21:32:14.552979,37784238,5,0.27,7.0,1701466334552979
vla1,2023-12-01T21:32:23.506985,37959121,5,0.27,7.0,1701466343506985
vla1,2023-12-01T21:32:33.161378,38147683,5,0.27,7.0,1701466353161378
vla1,2023-12-01T21:32:42.518788,38330445,5,0.27,7.0,1701466362518788
vla1,2023-12-01T21:32:52.109408,38517762,5,0.27,7.0,1701466372109408
vla1,2023-12-01T21:33:01.695321,38704986,5,0.27,7.0,1701466381695321
vla1,2023-12-01T21:33:11.477442,38896044,5,0.27,7.0,1701466391477442
vla1,2023-12-01T21:33:20.974566,39081534,5,0.27,7.0,1701466400974566
vla1,2023-12-01T21:33:30.545876,39268474,5,0.27,7.0,1701466410545876
vla1,2023-12-01T21:34:45.251818,40727574,5,0.27,7.0,1701466485251818
vla1,2023-12-01T21:34:54.951676,40917025,5,0.27,7.0,1701466494951676
vla1,2023-12-01T21:35:03.982346,41093405,5,0.27,7.0,1701466503982346
vla1,2023-12-01T21:35:13.768890,41284548,5,0.27,7.0,1701466513768890
vla1,2023-12-01T21:35:23.002753,41464897,5,0.27,7.0,1701466523002753
vla1,2023-12-01T21:35:31.855483,41637802,5,0.27,7.0,1701466531855483
vla1,2023-12-01T21:35:41.386065,41823946,5,0.27,7.0,1701466541386065
vla1,2023-12-01T21:35:51.255001,42016699,5,0.27,7.0,1701466551255001
vla1,2023-12-01T21:36:01.892746,42224467,5,0.27,7.0,1701466561892746
vla1,2023-12-01T21:36:11.481809,42411754,5,0.27,7.0,1701466571481809
vla1,2023-12-01T21:36:20.743085,42592638,5,0.27,7.0,1701466580743085
vla1,2023-12-01T21:36:31.504635,42802825,5,0.27,7.0,1701466591504635
vla1,2023-12-01T21:36:40.891584,42986163,5,0.27,7.0,1701466600891584
vla1,2023-12-01T21:36:50.312691,43170169,5,0.27,7.0,1701466610312691
vla1,2023-12-01T21:36:59.815566,43355773,5,0.27,7.0,1701466619815566
vla1,2023-12-01T21:37:09.254518,43540127,5,0.27,7.0,1701466629254518
vla1,2023-12-01T21:37:18.884640,43728215,5,0.27,7.0,1701466638884640
vla1,2023-12-01T21:37:28.619423,43918348,5,0.27,7.0,1701466648619423
vla1,2023-12-01T21:37:37.951810,44100621,5,0.27,7.0,1701466657951810
vla1,2023-12-01T21:37:48.601649,44308626,5,0.27,7.0,1701466668601649
vla1,2023-12-01T21:37:58.122015,44494570,5,0.27,7.0,1701466678122015
vla1,2023-12-01T21:38:07.688795,44681422,5,0.27,7.0,1701466687688795
vla1,2023-12-01T21:38:17.034866,44863962,5,0.27,7.0,1701466697034866
vla1,2023-12-01T21:38:26.140055,45041798,5,0.27,7.0,1701466706140055
vla1,2023-12-01T21:38:35.597829,45226520,5,0.27,7.0,1701466715597829
vla1,2023-12-01T21:38:44.848609,45407199,5,0.27,7.0,1701466724848609
vla1,2023-12-01T21:38:54.348584,45592746,5,0.27,7.0,1701466734348584
vla1,2023-12-01T21:39:05.083277,45802407,5,0.27,7.0,1701466745083277
vla1,2023-12-01T21:39:15.265688,46001283,5,0.27,7.0,1701466755265688
vla1,2023-12-01T21:39:24.807047,46187637,5,0.27,7.0,1701466764807047
vla1,2023-12-01T21:39:34.545186,46377835,5,0.27,7.0,1701466774545186
vla1,2023-12-01T21:39:44.776826,46577672,5,0.27,7.0,1701466784776826
vla1,2023-12-01T21:39:54.525779,46768081,5,0.27,7.0,1701466794525779
vla1,2023-12-01T21:40:03.844083,46950079,5,0.27,7.0,1701466803844083
vla1,2023-12-01T21:40:14.621146,47160569,5,0.27,7.0,1701466814621146
vla1,2023-12-01T21:40:24.001359,47343776,5,0.27,7.0,1701466824001359
vla1,2023-12-01T21:40:33.367079,47526700,5,0.27,7.0,1701466833367079
vla1,2023-12-01T21:40:43.226329,47719264,5,0.27,7.0,1701466843226329
vla1,2023-12-01T21:40:53.086932,47911854,5,0.27,7.0,1701466853086932
vla1,2023-12-01T21:42:47.688119,50150158,5,0.27,7.0,1701466967688119
vla1,2023-12-01T21:42:56.900759,50330093,5,0.27,7.0,1701466976900759
vla1,2023-12-01T21:43:06.313765,50513940,5,0.27,7.0,1701466986313765
vla1,2023-12-01T21:43:16.401765,50710972,5,0.27,7.0,1701466996401765
vla1,2023-12-01T21:43:25.970976,50897870,5,0.27,7.0,1701467005970976
vla1,2023-12-01T21:43:35.845312,51090728,5,0.27,7.0,1701467015845312
vla1,2023-12-01T21:43:46.382258,51296528,5,0.27,7.0,1701467026382258
vla1,2023-12-01T21:43:56.209197,51488461,5,0.27,7.0,1701467036209197
vla1,2023-12-01T21:44:05.504114,51670002,5,0.27,7.0,1701467045504114
vla1,2023-12-01T22:15:08.687633,88060305,5,0.27,7.0,1701468908687633
vla1,2023-12-01T22:15:18.085829,88243864,5,0.27,7.0,1701468918085829
vla1,2023-12-01T22:15:27.596808,88429625,5,0.27,7.0,1701468927596808
vla1,2023-12-01T22:15:36.884607,88611027,5,0.27,7.0,1701468936884607
vla1,2023-12-01T22:15:46.436987,88797597,5,0.27,7.0,1701468946436987
vla1,2023-12-01T22:15:56.131161,88986936,5,0.27,7.0,1701468956131161
vla1,2023-12-01T22:16:05.973766,89179175,5,0.27,7.0,1701468965973766
vla1,2023-12-01T22:16:15.545908,89366131,5,0.27,7.0,1701468975545908
vla1,2023-12-01T22:16:26.649469,89582997,5,0.27,7.0,1701468986649469
vla1,2023-12-01T22:16:37.078032,89786680,5,0.27,7.0,1701468997078032
vla1,2023-12-01T22:16:46.562211,89971918,5,0.27,7.0,1701469006562211
vla1,2023-12-01T22:16:55.698820,90150367,5,0.27,7.0,1701469015698820
vla1,2023-12-01T22:17:04.929299,90330650,5,0.27,7.0,1701469024929299
vla1,2023-12-01T22:17:14.190375,90511530,5,0.27,7.0,1701469034190375
vla1,2023-12-01T22:17:24.154001,90706133,5,0.27,7.0,1701469044154001
vla1,2023-12-01T22:17:33.769074,90893927,5,0.27,7.0,1701469053769074
vla1,2023-12-01T22:17:43.059448,91075380,5,0.27,7.0,1701469063059448
vla1,2023-12-01T22:17:53.323289,91275845,5,0.27,7.0,1701469073323289
vla1,2023-12-01T22:18:03.517625,91474953,5,0.27,7.0,1701469083517625
vla1,2023-12-01T22:18:13.565910,91671209,5,0.27,7.0,1701469093565910
vla1,2023-12-01T22:18:22.774420,91851063,5,0.27,7.0,1701469102774420
vla1,2023-12-01T22:18:32.116871,92033532,5,0.27,7.0,1701469112116871
vla1,2023-12-01T22:18:41.817442,92222997,5,0.27,7.0,1701469121817442
vla1,2023-12-01T22:18:51.075496,92403818,5,0.27,7.0,1701469131075496
vla1,2023-12-01T22:19:00.565943,92589178,5,0.27,7.0,1701469140565943
vla1,2023-12-01T22:19:10.243985,92778203,5,0.27,7.0,1701469150243985
vla1,2023-12-01T22:19:19.429512,92957607,5,0.27,7.0,1701469159429512
vla1,2023-12-01T22:19:29.745770,93159097,5,0.27,7.0,1701469169745770
vla1,2023-12-01T22:19:39.356004,93346797,5,0.27,7.0,1701469179356004
vla1,2023-12-01T22:19:48.667228,93528657,5,0.27,7.0,1701469188667228
vla1,2023-12-01T22:19:58.598258,93722622,5,0.27,7.0,1701469198598258
vla1,2023-12-01T22:20:07.919365,93904675,5,0.27,7.0,1701469207919365
vla1,2023-12-01T22:20:17.147858,94084919,5,0.27,7.0,1701469217147858
vla1,2023-12-01T22:20:26.790563,94273253,5,0.27,7.0,1701469226790563
vla1,2023-12-01T22:20:36.553879,94463943,5,0.27,7.0,1701469236553879
vla1,2023-12-01T22:20:45.965599,94647765,5,0.27,7.0,1701469245965599
vla1,2023-12-01T22:20:55.577690,94835501,5,0.27,7.0,1701469255577690
vla1,2023-12-01T22:21:04.764542,95014932,5,0.27,7.0,1701469264764542
vla1,2023-12-01T22:21:14.639491,95207802,5,0.27,7.0,1701469274639491
vla1,2023-12-01T22:21:23.729242,95385336,5,0.27,7.0,1701469283729242
vla1,2023-12-01T22:23:49.057953,98223788,5,0.27,7.0,1701469429057953
vla1,2023-12-01T22:23:57.710225,98392778,5,0.27,7.0,1701469437710225
vla1,2023-12-01T22:24:08.021991,98594179,5,0.27,7.0,1701469448021991
vla1,2023-12-01T22:24:17.532669,98779935,5,0.27,7.0,1701469457532669
vla1,2023-12-01T22:24:27.346432,98971610,5,0.27,7.0,1701469467346432
vla1,2023-12-01T22:24:38.031167,99180296,5,0.27,7.0,1701469478031167
vla1,2023-12-01T22:24:47.824139,99371565,5,0.27,7.0,1701469487824139
vla1,2023-12-01T22:24:57.506253,99560669,5,0.27,7.0,1701469497506253
vla1,2023-12-01T22:25:06.687229,99739985,5,0.27,7.0,1701469506687229
vla1,2023-12-01T22:25:16.520649,99932044,5,0.27,7.0,1701469516520649
vla1,2023-12-01T22:25:27.028603,100137277,5,0.27,7.0,1701469527028603
vla1,2023-12-01T22:25:36.664253,100325473,5,0.27,7.0,1701469536664253
vla1,2023-12-01T22:25:46.700121,100521486,5,0.27,7.0,1701469546700121
vla1,2023-12-01T22:25:56.238618,100707785,5,0.27,7.0,1701469556238618
vla1,2023-12-01T22:26:05.386990,100886464,5,0.27,7.0,1701469565386990
vla1,2023-12-01T22:26:14.590740,101066225,5,0.27,7.0,1701469574590740
vla1,2023-12-01T22:26:24.214758,101254194,5,0.27,7.0,1701469584214758
vla1,2023-12-01T22:26:33.854691,101442474,5,0.27,7.0,1701469593854691
vla1,2023-12-01T22:26:43.828550,101637276,5,0.27,7.0,1701469603828550
vla1,2023-12-01T22:26:53.740561,101830870,5,0.27,7.0,1701469613740561
vla1,2023-12-01T22:27:03.456833,102020641,5,0.27,7.0,1701469623456833
vla1,2023-12-01T22:27:13.539573,102217570,5,0.27,7.0,1701469633539573
