Mooring Depth [m],Equipment,Sensor SN,Hydrophone Sensitivity [dB re 1V/uPa]
16.2,CH-0 Hydrophone,722013,-204.0
17.7,CH-1 Hydrophone,722014,-204.1
21.3,CH-2 Hydrophone,722015,-204.0
22.8,CH-3 Hydrophone,722016,-204.2
