latitude,longitude,error_m,bathymetry
41.342618126552004,-70.53396791295872,35.02153265116636,-9.374775218497328
41.34268164593248,-70.53391741051608,32.12961476391654,-9.397286864493784
41.34270139007853,-70.53403201285161,32.617619301589656,-9.377028848008072
41.342766699063205,-70.53403911951747,31.1212263697763,-9.389304693120154
41.34269009764085,-70.53408765963857,31.406288927864267,-9.36260754193979
41.34262941678274,-70.53413786488132,32.62170373220587,-9.340982164916904
41.34251754358864,-70.5341939213378,33.175516596489075,-9.31464757689337
41.342659313254444,-70.53427033058435,32.97691143345845,-9.31774858309517
41.34271990842863,-70.53429190755487,30.270622458720137,-9.323718563498174
41.34271586708859,-70.53434739561438,30.886116129197426,-9.312134245570908
41.342707341605006,-70.53440116320152,31.544438974415765,-9.301174193993711
41.342729618650424,-70.53448317933919,32.20922756479352,-9.293312538679118
41.342747114618035,-70.53453441878739,31.64038155800181,-9.291173898421768
41.34268909129119,-70.53459298504202,32.50306979717015,-9.27661055948803
41.34272838407095,-70.53460991516238,30.447965199775886,-9.283020448083404
41.3427309904706,-70.53471538501634,30.757321985235915,-9.282431393038909
41.342659276829465,-70.53470442162029,29.508787169562307,-9.269051219127585
41.34269449057576,-70.53474675461996,29.100726007311977,-9.275844807941336
41.342665313452855,-70.5348290154409,29.884633504365297,-9.273081320312418
41.342705353866506,-70.53486938430207,28.928719953887356,-9.28336774197762
41.34261410830353,-70.53490885364309,30.06604676426687,-9.267905148702871
41.34265117789415,-70.53496324172102,29.921130928562427,-9.278921600349026
41.34264007601827,-70.53499276829389,29.2102895959304,-9.279074087217928
41.34261745247407,-70.53505128142424,28.922820455617998,-9.279660879230862
41.34253269572018,-70.53508186867795,30.00297744616668,-9.266996580342584
41.342486145917384,-70.53511208604736,30.69992044554192,-9.263259986876754
41.34244647490178,-70.53514676972075,30.91366265377309,-9.262299435499822
41.342416839003604,-70.53517783603866,30.94270415105884,-9.263066555278503
41.34245942327953,-70.53524265947573,30.49865868181885,-9.273163988984606
