Mooring Depth [m],Equipment,Sensor SN,Hydrophone Sensitivity [dB re 1V/uPa]
21.0, CH-0 Hydrophone,238140,-203.3
21.0, CH-1 Hydrophone,238142,-203.3
21.0, CH-2 Hydrophone,238143,-203.3
21.0, CH-3 Hydrophone,238146,-203.2
