timestamp,3dvha,vla1,vla2,unix_time_us,doa_brg,doa_brg_unc,3dvha_brg,vla1_brg,vla2_brg,3dvha_brg_unc,vla1_brg_unc,vla2_brg_unc,snr_p_db_3dvha,snr_p_db_vla1,snr_p_db_vla2,sigma_t_3dvha,sigma_t_vla1,sigma_t_vla2,sigma_tdoa_s_3dvha,sigma_tdoa_s_vla1,sigma_tdoa_s_vla2,p_noise_3dvha,p_noise_vla1,p_noise_vla2,p_signal_3dvha,p_signal_vla1,p_signal_vla2,var_tdoa
2023-12-01T21:00:03.145337,-0.333475,0.0,0.231739,1701464403145337,353.25092021709935,0.02073926899091018,353.25092021709935,353.25092021709935,353.25092021709935,0.02073926899091018,0.02073926899091018,0.02073926899091018,16.45774635831165,25.32904607103823,11.342514825322807,0.0011104982612008126,0.00039990137485844597,0.0020011491535408305,0.001570481701981929,0.0005655459479364614,0.002830052273268882,1.2148931039451753e+32,4.820429564608007e+30,2.1297488835173067e+31,5.374186117392085e+33,1.6443351800966242e+33,2.9012147833718655e+32,3.5984836216405904e-6
2023-12-01T21:00:12.868733,-0.331674,0.0,0.228785,1701464412868733,353.3135374170958,0.007443100053679535,353.3135374170958,353.3135374170958,353.3135374170958,0.007443100053679535,0.007443100053679535,0.007443100053679535,24.627517831063862,27.22949979015038,21.30199061103756,0.00043354013572824516,0.0003213144162681974,0.0006357782553243369,0.0006131183397799567,0.000454407205272479,0.0008991262313415817,1.8106702798501586e+31,3.3007214447702986e+30,2.8012073951943174e+30,5.255223081027455e+33,1.7440496879402286e+33,3.7804571974526e+32,4.6360932888819695e-7
2023-12-01T21:00:22.083100,-0.332,0.0,0.246761,1701464422083100,353.0357723782285,0.00874836257499305,353.0357723782285,353.0357723782285,353.0357723782285,0.00874836257499305,0.00874836257499305,0.00874836257499305,24.702591700111395,30.80116995590387,18.737904677137976,0.00042980910946724366,0.00021298386456777347,0.000854102448597957,0.0006078418718400782,0.00030120466983837976,0.0012078832664633,2.119247932165539e+31,1.6095041661550521e+30,4.961099190638743e+30,6.258077513518715e+33,1.9355709740298427e+33,3.709952745828055e+32,6.39725993232183e-7
2023-12-01T21:00:31.971327,-0.320641,0.0,0.261733,1701464431971327,352.9174310557224,0.021080261649300835,352.9174310557224,352.9174310557224,352.9174310557224,0.021080261649300835,0.021080261649300835,0.021080261649300835,19.07409541608598,24.231549678529746,10.658447451099528,0.000821675674499084,0.0004537615752755012,0.0021651242697912102,0.0011620248827486654,0.0006417157738383939,0.003061948106561874,7.314137682191979e+31,7.075088784335499e+30,2.8219240755251385e+31,5.909798492287035e+33,1.874506117047099e+33,3.2839011055670816e+32,3.7125423899326336e-6
2023-12-01T21:00:41.375928,-0.323194,0.0,0.260618,1701464441375928,352.90964248884234,0.014727663415361072,352.90964248884234,352.90964248884234,352.90964248884234,0.014727663415361072,0.014727663415361072,0.014727663415361072,14.285535734853855,25.332958084077845,20.168555867935773,0.0014260291856694489,0.00039972130497339427,0.0007243982748822076,0.0020167098147135954,0.0005652912906628463,0.0010244538648980913,2.4522692550415876e+32,5.454221237939322e+30,4.2877874432196115e+30,6.578421956126367e+33,1.8622095886333273e+33,4.4574741667431765e+32,1.812059480455349e-6
2023-12-01T21:00:50.785523,-0.312437,0.0,0.298365,1701464450785523,352.43708087072395,0.01163318465624429,352.43708087072395,352.43708087072395,352.43708087072395,0.01163318465624429,0.01163318465624429,0.01163318465624429,19.235846874574246,23.595841866179622,18.318483282715388,0.000806515757718915,0.00048821723579258055,0.0008963570459178953,0.001140585522833703,0.0006904434362421708,0.0012676402910657707,1.0574601896237391e+32,9.927210970865224e+30,6.999252968550787e+30,8.868470257560383e+33,2.272016275620046e+33,4.752258087356902e+32,1.1281864603603463e-6
2023-12-01T21:01:00.896114,-0.319704,0.0,0.286459,1701464460896114,352.5484804177999,0.01549494230901615,352.5484804177999,352.5484804177999,352.5484804177999,0.01549494230901615,0.01549494230901615,0.01549494230901615,14.286364151231803,21.56442521020019,19.6583985699152,0.0014258931846783654,0.0006168562086770828,0.0007682194035375682,0.0020165174802675087,0.0008723664163451787,0.0010864262993609986,4.1482359517085554e+32,1.3813718018385053e+31,4.4427208691591734e+30,1.1130120499442354e+34,1.980400865491601e+33,4.1066612935888595e+32,2.002562672178195e-6
2023-12-01T21:01:10.430832,-0.321976,0.0,0.302034,1701464470430832,352.28804191662346,0.010893151573783101,352.28804191662346,352.28804191662346,352.28804191662346,0.010893151573783101,0.010893151573783101,0.010893151573783101,24.22920856603841,29.70145149420633,16.510407148160585,0.0004538838943598062,0.0002417311544179261,0.00110378590352957,0.0006418887591463551,0.000341859477025936,0.0015609889947277588,3.7599368153985977e+31,2.4610361189018698e+30,1.0568178783474888e+31,9.956378616677758e+33,2.297540295448313e+33,4.73195783935231e+32,9.885252409373574e-7
2023-12-01T21:01:19.868275,-0.315412,0.0,0.315241,1701464479868275,352.14980646827917,0.009120963784470304,352.14980646827917,352.14980646827917,352.14980646827917,0.009120963784470304,0.009120963784470304,0.009120963784470304,23.022476926104,27.99192465786037,19.041304427532612,0.0005215324726600416,0.00029431267627123164,0.0008247835289055156,0.0007375582960538064,0.000416220978361098,0.0011664200526001218,5.360225079306044e+31,3.776721565286485e+30,6.037091111349635e+30,1.075055088100603e+34,2.378523430235981e+33,4.841257390764102e+32,6.92589294004445e-7
2023-12-01T21:01:29.564450,-0.322077,0.0,0.290549,1701464489564450,352.4628103269216,0.011712600145381571,352.4628103269216,352.4628103269216,352.4628103269216,0.011712600145381571,0.011712600145381571,0.011712600145381571,19.673029868141622,23.35835554592938,17.944358821710605,0.0007669264345842769,0.0005017500489091092,0.0009358090906454929,0.0010845977651315268,0.000709581724088626,0.0013234339077828892,1.2908068215052576e+32,7.277508791550749e+30,4.5417482082978274e+30,1.1971931924401251e+34,1.576951343063007e+33,2.829169292860388e+32,1.1437786145194594e-6
