time_s,constant_deg,slope_deg_s,start_s,stop_s,y0,y1,timestamp,start_time,stop_time,mean_bearing,whale_range_km,whale_range_km_25pct
108.37230667019325,191.76826752361987,-0.010559972579733458,0.0,216.7446133403865,191.76826752361987,189.47945034994046,2023-12-01T21:08:05.545964,2023-12-01T21:06:17.173658,2023-12-01T21:09:53.918271,190.61631467768706,15.07152995807424,3.76788248951856
228.34547817019325,183.05891844357936,0.02962256734970381,216.7446133403865,239.94634299999998,189.47945034994046,190.16674514941198,2023-12-01T21:10:05.519136,2023-12-01T21:09:53.918271,2023-12-01T21:10:17.120000,189.7306795892813,5.372759937145917,1.3431899842864792
186.95810376877787,189.798712305119,0.006916246068608252,0.0,373.91620753755575,189.798712305119,192.38480880548954,2023-12-01T21:15:08.918910,2023-12-01T21:12:01.960807,2023-12-01T21:18:15.877014,191.0379886290077,23.01175254800064,5.75293813700016
491.4738003282613,196.8966535845997,-0.01206645951194029,373.91620753755575,609.0313931189668,192.38480880548954,189.54780093802913,2023-12-01T21:20:13.434607,2023-12-01T21:18:15.877014,2023-12-01T21:22:10.992200,190.40765258281564,13.189862605050351,3.2974656512625877
860.2720975694178,192.28486276120168,-0.004494122723552145,609.0313931189668,1111.512802019869,189.54780093802913,187.28958782012506,2023-12-01T21:26:22.232904,2023-12-01T21:22:10.992200,2023-12-01T21:30:33.473609,188.5518491713539,35.414018014643716,8.853504503660929
1147.1599712334291,206.72854849250135,-0.017488742043322673,1111.512802019869,1182.8071404469893,187.28958782012506,186.0427395262238,2023-12-01T21:31:09.120778,2023-12-01T21:30:33.473609,2023-12-01T21:31:44.767947,186.89404563969347,9.100422586006513,2.275105646501628
1209.9118976597542,148.9263287937862,0.031379934617583656,1182.8071404469893,1237.0166548725192,186.0427395262238,187.74383054454793,2023-12-01T21:32:11.872704,2023-12-01T21:31:44.767947,2023-12-01T21:32:38.977461,186.81353464548553,5.0718698120777255,1.2679674530194314
1450.6305480816716,198.61759827679748,-0.008790316354608967,1237.0166548725192,1664.244441290824,187.74383054454793,183.9883631464517,2023-12-01T21:36:12.591355,2023-12-01T21:32:38.977461,2023-12-01T21:39:46.205248,185.7265843575943,18.105712772037688,4.526428193009422
1784.333011145412,156.90926958804152,0.016271103502924746,1664.244441290824,1904.4215809999998,183.9883631464517,187.89631024569613,2023-12-01T21:41:46.293818,2023-12-01T21:39:46.205248,2023-12-01T21:43:46.382387,186.14695596216703,9.781447402340419,2.4453618505851047
251.03643741556985,162.35112542190458,0.023421584035787223,0.0,502.0728748311397,162.35112542190458,174.1104674518514,2023-12-01T22:19:19.719292,2023-12-01T22:15:08.682855,2023-12-01T22:23:30.755729,166.76140792458614,6.795225414673623,1.6988063536684057
556.3538169354687,174.084075902889,0.00005256517586473691,502.0728748311397,610.6347590397977,174.1104674518514,174.11617402638706,2023-12-01T22:24:25.036671,2023-12-01T22:23:30.755729,2023-12-01T22:25:19.317614,174.1137195584239,3027.763923047457,756.9409807618642
749.9229475198988,183.98911784961007,-0.016168329229649316,610.6347590397977,889.211136,174.11617402638706,169.6120594480916,2023-12-01T22:27:38.605802,2023-12-01T22:25:19.317614,2023-12-01T22:29:57.893991,171.89216242736788,9.843623347305337,2.4609058368263343
10.217149501175012,165.4580272246874,0.0028696735441098853,0.0,20.434299002350023,165.4580272246874,165.51666699192688,2023-12-01T22:32:31.373758,2023-12-01T22:32:21.156609,2023-12-01T22:32:41.590908,165.48592656011496,55.46099256431692,13.86524814107923
86.74106645759389,165.824936105366,-0.015085866826342081,20.434299002350023,153.04783391283775,165.51666699192688,163.5160768648968,2023-12-01T22:33:47.897675,2023-12-01T22:32:41.590908,2023-12-01T22:34:54.204442,164.52796940199866,10.549936899481843,2.6374842248704606
244.39310169195235,164.36071537327712,-0.00551878773313021,153.04783391283775,335.73836947106696,163.5160768648968,162.50784657829905,2023-12-01T22:36:25.549710,2023-12-01T22:34:54.204442,2023-12-01T22:37:56.894978,163.044085528914,28.83875060757664,7.20968765189416
407.74855723553344,160.94084642993917,0.004667325187849635,335.73836947106696,479.758745,162.50784657829905,163.18003650456882,2023-12-01T22:39:08.905166,2023-12-01T22:37:56.894978,2023-12-01T22:40:20.915354,162.84956185631455,34.09981877976289,8.524954694940723
