global_sample,global_start,global_end,orig_rms_db,filt_rms_db,rms_diff_db
8254876,8237298,8268547,116.72560804540808,111.03737250986072,5.6882355355473635
8284138,8266560,8297809,119.14792683221913,115.33903846401834,3.8088883682007832
8314061,8296483,8327732,117.79637705676916,111.36403443355726,6.432342623211895
8345324,8327746,8358995,113.8124908296231,112.12002797458692,1.692462855036183
8374962,8357384,8388633,117.5377520222027,108.37282693780317,9.164925084399528
8403881,8386303,8417552,118.09560424981638,108.999387240329,9.096217009487376
8434719,8417141,8448390,119.2002448786464,113.80760431740069,5.392640561245713
8465065,8447487,8478736,118.67611347799999,113.59531806084384,5.080795417156153
8497871,8480293,8511542,117.50178164424523,105.13618084484426,12.365600799400966
8528382,8510804,8542053,118.88587884275609,112.71845031138298,6.167428531373105
8553091,8535513,8566762,120.83730221156692,117.81320375716001,3.0240984544069107
8580954,8563376,8594625,120.00096424464347,114.97888450441692,5.022079740226545
8608767,8591189,8622438,118.76034410270134,111.13778437018456,7.622559732516777
8637095,8619517,8650766,119.02797448012934,112.6353383525674,6.392636127561943
8665372,8647794,8679043,120.25103224691485,117.08169450609253,3.1693377408223142
8693739,8676161,8707410,118.12990242544159,109.46220089332648,8.667701532115103
8721576,8703998,8735247,117.49994795989284,106.83226162156267,10.66768633833017
8749950,8732372,8763621,117.72276417934387,107.22048094074816,10.502283238595709
8779398,8761820,8793069,120.03054948850975,116.35312999523508,3.6774194932746695
8807649,8790071,8821320,124.5935003649734,123.53893532718124,1.054565037792159
8834126,8816548,8847797,121.43253021243746,119.15218477183204,2.2803454406054158
8861755,8844177,8875426,117.44840152461612,109.14052661539698,8.307874909219137
8889930,8872352,8903601,120.27125846005022,117.00792495534355,3.263333504706665
8917920,8900342,8931591,119.38011194841415,114.76586328907862,4.61424865933553
8945904,8928326,8959575,116.6678281438063,107.7733039458716,8.8945241979347
8973614,8956036,8987285,117.34680463480657,109.98259816834178,7.364206466464793
9001498,8983920,9015169,122.19765350712571,120.79199359889478,1.4056599082309305
9030575,9012997,9044246,117.00417230320778,109.0047831145865,7.999389188621279
9058574,9040996,9072245,117.72103414867061,114.4608024972584,3.2602316514122123
9084202,9066624,9097873,118.2827044859022,111.84664612225777,6.436058363644435
9110887,9093309,9124558,117.16365240838228,109.30005923861518,7.8635931697671
9137921,9120343,9151592,119.30303868696997,113.58787502863339,5.715163658336579
9164256,9146678,9177927,118.91479027325447,113.67753472563504,5.2372555476194265
9190829,9173251,9204500,123.22303293523956,122.26134874384397,0.9616841913955909
9217192,9199614,9230863,117.7857039418749,109.81620223266026,7.96950170921464
9243145,9225567,9256816,119.6877182403336,117.06560578233922,2.622112457994376
9270299,9252721,9283970,118.88575249483794,114.58720216185324,4.2985503329847035
9297080,9279502,9310751,117.77917064853214,109.64251662727271,8.136654021259432
9323824,9306246,9337495,117.55384491522585,111.42994916007865,6.123895755147203
9349542,9331964,9363213,119.3320388023413,115.1736551420833,4.158383660257996
9376655,9359077,9390326,122.86987776719695,121.48953828410116,1.3803394830957956
9403180,9385602,9416851,117.35591251937633,110.39604486313809,6.959867656238245
9430734,9413156,9444405,118.75260141043825,114.60814793846043,4.144453471977812
9456999,9439421,9470670,117.18284153048648,108.60449574750493,8.578345782981557
9482054,9464476,9495725,117.19221072840332,107.48316577842323,9.709044949980097
9510812,9493234,9524483,117.37120840676351,107.73932311312592,9.631885293637595
9535711,9518133,9549382,117.8531221301405,112.51735785421337,5.335764275927133
9561083,9543505,9574754,123.25155687295211,122.21355294906816,1.0380039238839487
9584420,9566842,9598091,118.5713033798129,111.7431506622772,6.828152717535701
9609297,9591719,9622968,119.28911885160818,112.87815885745671,6.410959994151469
9634072,9616494,9647743,124.53336288051617,122.94709262624593,1.5862702542702323
9659735,9642157,9673406,119.91086267708943,117.84235602500068,2.068506652088743
9684956,9667378,9698627,116.65954078100525,110.20680897299157,6.452731808013681
9710505,9692927,9724176,116.65193033232595,109.01589858236399,7.636031749961958
9735165,9717587,9748836,122.24719319196981,121.47156190405101,0.7756312879187988
9759902,9742324,9773573,118.59054512247201,115.75048000835315,2.8400651141188575
9785795,9768217,9799466,117.59798035694361,112.26852095646043,5.329459400483174
9811077,9793499,9824748,117.58041883038501,110.79775609235068,6.7826627380343325
9836615,9819037,9850286,116.89024457235975,108.40476519336573,8.485479378994015
9862095,9844517,9875766,116.9094243000272,108.32973649329077,8.57968780673643
9886900,9869322,9900571,118.23726196842584,112.51063313790114,5.726628830524703
9911570,9893992,9925241,120.06042164758794,116.31058644562651,3.7498352019614316
9936751,9919173,9950422,119.77744084706215,116.75248093624293,3.02495991081922
9962133,9944555,9975804,122.61758953269315,121.17348535889417,1.4441041737989764
9987389,9969811,10001060,117.70862757169154,111.0761945068087,6.632433064882832
10012432,9994854,10026103,118.23291986266106,109.70576798586686,8.527151876794207
10037726,10020148,10051397,117.94711071832512,111.39658785317951,6.550522865145609
10062217,10044639,10075888,121.79817318161285,119.11874773181214,2.6794254498007177
10089031,10071453,10102702,119.68479967289636,117.11569699808287,2.569102674813493
10113276,10095698,10126947,119.33949066589673,115.3065120319437,4.032978633953036
10140494,10122916,10154165,123.6299329826708,122.61012701817515,1.0198059644956459
10164309,10146731,10177980,124.8141686492549,124.32180174223788,0.4923669070170149
10189832,10172254,10203503,124.5608401566817,124.12496841401763,0.4358717426640766
10214794,10197216,10228465,123.16734818235926,121.76025586046678,1.4070923218924776
10240577,10222999,10254248,120.35131695022105,117.15436388457745,3.196953065643598
10266860,10249282,10280531,120.77947772127077,118.4966618264444,2.2828158948263706
10292513,10274935,10306184,118.26490459092625,113.67378144154142,4.591123149384828
10317488,10299910,10331159,117.12155349233257,110.53307630187086,6.5884771904617025
10342841,10325263,10356512,123.18468523519941,122.17633084246475,1.0083543927346597
10368394,10350816,10382065,120.64403786829874,117.42995550979768,3.2140823585010594
10394060,10376482,10407731,118.9573547908678,115.22065816928205,3.73669662158575
10419903,10402325,10433574,117.96621545804103,110.0901512379727,7.876064220068329
10445795,10428217,10459466,117.91243946157238,109.72284327751352,8.189596184058857
10471448,10453870,10485119,118.3928720285161,112.32030526667815,6.0725667618379475
10495975,10478397,10509646,118.28469242545435,110.7299780651471,7.554714360307258
10521880,10504302,10535551,123.21185111463316,121.33652674500318,1.875324369629979
10547274,10529696,10560945,121.74128377104337,119.88627933527144,1.8550044357719315
10572741,10555163,10586412,118.35369294328841,109.3884359299349,8.965257013353508
10599147,10581569,10612818,117.72966816917076,108.28477943499618,9.444888734174583
10622041,10604463,10635712,119.81982358327579,110.88184552029354,8.937978062982253
10646938,10629360,10660609,119.21565972404962,109.23179005400945,9.983869670040164
10671431,10653853,10685102,118.492145961958,108.48110303077937,10.011042931178636
10697203,10679625,10710874,120.92099645754877,117.95223799827697,2.968758459271797
